  1.000380  0.001201
  0.997755  0.002433
  0.989900  0.006086
  0.976878  0.012033
  0.958794  0.020072
  0.935798  0.029930
  0.908089  0.041279
  0.875910  0.053744
  0.839556  0.066923
  0.799369  0.080399
  0.755741  0.093751
  0.709109  0.106568
  0.659956  0.118460
  0.608805  0.129070
  0.556218  0.138081
  0.502790  0.145228
  0.449144  0.150304
  0.395771  0.153165
  0.341643  0.152686
  0.289320  0.148224
  0.239581  0.140132
  0.193158  0.128921
  0.150703  0.115220
  0.112776  0.099744
  0.079832  0.083249
  0.052224  0.066487
  0.030202  0.050167
  0.013926  0.034917
  0.003473  0.021250
 -0.001150  0.009540
  0.000000  0.000000
  0.006628 -0.006947
  0.018379 -0.011012
  0.035018 -0.012380
  0.056252 -0.011320
  0.081750 -0.008177
  0.111151 -0.003360
  0.144080  0.002676
  0.180167  0.009443
  0.219057  0.016436
  0.260419  0.023149
  0.303944  0.029088
  0.349340  0.033786
  0.396317  0.036816
  0.446327  0.038494
  0.497210  0.039494
  0.548310  0.039683
  0.599107  0.038976
  0.649061  0.037354
  0.697628  0.034860
  0.744259  0.031596
  0.788416  0.027715
  0.829575  0.023407
  0.867235  0.018889
  0.900928  0.014387
  0.930227  0.010127
  0.954752  0.006319
  0.974179  0.003149
  0.988248  0.000771
  0.996767 -0.000702
  0.999620 -0.001201
